crop_path,final_pred
data\input_images\image_1\crop_0082_conf_0.92.jpg,__Unknown__
data\input_images\image_1\crop_0083_conf_0.90.jpg,__Unknown__
data\input_images\image_1\crop_0084_conf_0.90.jpg,__Unknown__
data\input_images\image_1\crop_0085_conf_0.88.jpg,__Unknown__
data\input_images\image_1\crop_0086_conf_0.85.jpg,__Unknown__
data\input_images\image_1\crop_0087_conf_0.84.jpg,__Unknown__
data\input_images\image_1\crop_0088_conf_0.75.jpg,__Unknown__
data\input_images\image_1\crop_0089_conf_0.60.jpg,__Unknown__
data\input_images\image_1\crop_0090_conf_0.52.jpg,__Unknown__
data\input_images\image_1\crop_0091_conf_0.33.jpg,__Unknown__
